sentiment,headline
positive,"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland ."
negative,Tamglass Finton's reorganisation measures in the spring of 2006 will involve the initiation of personnel negotiations with its 33 employees.
positive,"Media companies find compelling reasons to use tablets, as they offer a novel way to generate revenue."
positive,"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn ."
neutral,ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .
negative,The airline's stock price in Helsinki fell by a small amount at (x20ac) 12.51 (around $ 15US .74).
neutral,`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .
positive,"The Finnish Componenta Group's subsidiary, Componenta +_m+_l, has been rebranded as +_m+_l Components, resulting in a 63 % increase in revenue during Q1 2010, compared to the previous year's peak."
negative,The temporary removal of cabin crew will commence in February 2010 under the Finnish airline's new regulations.
positive,The cooperation between Stockmann MasterCard and Estonia has been expanded to include Latvia and Estonia.
negative,The implementation of temporary lay-offs will have an effect on the entire workforce.
negative,"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall ."
neutral,It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .
neutral,"The copying , republication or redistribution of AFX News Content , including by framing or similar means , is expressly prohibited without the prior written consent of AFX News ."
positive,"OPUS DC, the latest addition to its OPUS product line, was announced by Efore Oyj, a Finnish power-supply solutions provider, on Nov. 28, 2008, according to ADP News."
positive,"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services ."
neutral,"A local waste management company , Turun Seudun J+Ætehuolto , has planned to set up a 150,000 tonne waste-burning facility ."
negative,"The negotiation has led to the loss of 80 individuals from regular employment, with pensions comprising approximately half of them."
negative,The acquisition of Tikkurila shares by Solidium in March 2010 will result in a loss of EUR5m in capital due to the sale.
neutral,"Nastola , axe 14 jobs 16 February 2010 - Finnish wood products technology firm Raute Oyj HEL : RUTAV said today that it will transfer to Nastola , southern Finland , the production of its Jyvaskyla plant , which will affect 14 people ."
positive,"The seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in Vietnam ."
negative,"The company's net sales in the Baltic states have decreased from EUR 14.2 million to EUR 11.9 million, and its operative EBIT has been reduced from EUR -1.7 million to EUR -2.2 million."
positive,"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 ."
negative,The operating margin was reported to be 5.9 % below average.
positive,"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority ."
positive,The technology unit of HELSINKI AFX-Outokumpu has been awarded a 28 mln eur contract from Aluminij dd Mostar for the upgrading of an anode plant.
positive,"Affecto Oyj, a Finnish IT solutions provider, announced on 27 January 2011 that it had been awarded a contract with SODRA, a state-owned Lithuanian social insurance firm, for EUR1."
neutral,An EU law on the issue may be introduced around 2010 .
positive,Salomon's social plan negotiations were a crucial aspect of the three-year turn-around program that aimed to secure its future competitiveness.
neutral,"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News ."
neutral,The event can also be viewed as a live webcast at www.cargotec.com .
negative,"Biohit Oyj OMX Helsinki, a developer of Finnish liquid handling and diagnostic test systems, issued a profit warning to BIOBV on June 3, 2008."
neutral,Delivery will start immediately in June 2008 and will be completed in 2008 .
negative,The diluted earnings per share ( EPS) fell to EUR 0.63 from EUR 1.71.
neutral,"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance ."
neutral,"no compensation for its news , opinions or distributions ."
positive,Olvi predicts a surge in sales and market share in the first quarter of 2010.
neutral,"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 ."
neutral,The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .
positive,The company's record for exports stands at 65.4 % of net sales.
neutral,Public services will also be available .
neutral,Finnish consumers prefer to buy the cheapest beer brand .
negative,"The company's financial report indicated a loss of EUR 2.9 mn, whereas it had a profit of EUR 0.6 mn the year before."
positive,"In Middle East & North Africa , Tecnotree has grown considerably in the recent years ."
positive,"Poland's size, economy, and fast-growing TV services distribution industry have made it a desirable market, as highlighted by Teleste."
negative,Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .
negative,"That 's what I go to bed worrying about every night , ' he said ."
negative,"In Helsinki, Kone's shares fell by 4.1 percent to x20ac, which is now valued at 43 US$ 55.77."
negative,"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur ."
positive,Technopolis is Europe 's leading operator of technoparks .
negative,"Nokia Oyj, a Finnish mobile phone manufacturer, reported on January 22nd, 2009, that its operating profit for 2008 had fallen from EUR 8 billion in 2007 to EUR 5 billion (USD 6.5 billion)."
positive,"ADP News reported that ACG1V, a Finnish printed circuit board manufacturer, reported a net profit of EUR 300,000 USD 385,000 for 2008, while its net loss was EUR 65.3 million."
positive,"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said ."
neutral,"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus ."
negative,"Dolce & Gabbana and Marimekko Corporation are in a long-standing dispute, with Dolce & Gabbana requesting the European Union to nullify the trademark for the Unikko floral pattern."
neutral,Net sales of the Lehdentekijat unit was approximately EUR 14 million in 2007 and it had 70 employees .
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 ."
positive,"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 ."
neutral,Financial terms were n't disclosed .
neutral,The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District .
neutral,"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers ."
positive,"The original name Componenta +_m+_l , as a subsidiary of the Finnish Componenta Group , has been changed to +_m+_l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 ."
positive,"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands ."
negative,The company reported that its operating profit for the January-June period was not as high as the corresponding performance of the previous year.
neutral,No financial details were reported .
positive,"After the transaction, Lundbeck has acquired global ownership of nalmefene, except for its use in North America, Mexico, Turkey, and South-Korea."
negative,"Ramirent suffered a loss of 18 million kroons or EUR 1.15 million in the previous year, despite having a revenue of 7.3 million kroons in the previous year."
neutral,"Rimvesta is now controlled by the Estonian-owned real estate development company ELL Nekilnojamas Turtas , which a member of Merko , the largest construction group in the Baltic countries ."
positive,"According to Tallink, the doors of Vana Tallinn and Regina Baltica, along with their electrical systems, are fully operational and waterproof."
negative,"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings ."
negative,"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said ."
positive,"Poland's size, economy, and rapid expansion of its TV services distribution industry have made it a desirable market, as highlighted by Teleste."
neutral,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland ."
neutral,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .
positive,Poyry is recognized as one of the world 's leading advisors to the global forestry industry .
negative,The latest quarter's Cash Flow from Operations was the lowest in eight years.
negative,"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur ."
positive,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .
negative,"Estonia's A. Le Coq, the majority shareholder of Ragutis, contributed to the losses by paying 2.779 million litas in interest on a long-term loan."
positive,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .
neutral,"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia ."
negative,"The company reports that the market situation has weakened during the fall of 2008, in addition to the usual seasonal fluctuations."
negative,"EUR 0.9 mn EUR operating loss was recorded in the first half of 2006, compared to EUR 0.5 mn EUR in the first half of 2005."
negative,"The Stockholm archipelago, which includes over 20,000 islands, had a problem with all the ferries."
neutral,"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 ."
negative,Talentum 's net sales in September were smaller than expected .
neutral,"Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings ."
neutral,"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year ."
negative,The group's operating loss decreased from EUR 2.5 million in 2004 to EUR 0.8 million today.
negative,The diluted earnings per share ( EPS) decreased from EUR 1.71 to EUR 0.63.
positive,An agreement has been signed by Finland's Finnish motorcyclist association and insurance company Pohjola to improve traffic safety for motorcyclists.
negative,"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company ."
positive,`` This is a win for all OEMs targeting to develop WiMAX products .
negative,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 ."
negative,Incap Furniture is presently in the process of negotiating staff reductions.
neutral,"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken ."
neutral,"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection ."
neutral,"Enclosed is Affecto 's call for Extraordinary General Meeting to be held on July 10th where the main agenda is to approve the authorization to the Board for the proposed share issue related to the Component Software acquisition , and to elect Haakon Skaarer to the Affecto board ."
negative,"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. ."
positive,"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 ."
negative,The company's policies on overtime assignment were the subject of a complaint filed by the union.
negative,"FLSmidth, a Danish company, has admitted to violating a patent issued by Finnish Metso."
positive,The announcement states that the money will be dedicated to enhancing the company's competitiveness in sawmill products and boosting the volume of wood processed in Russia.
positive,"An agreement was signed by SysOpen Digia with Sentera's main shareholders, who held a total share capital and votes of 77.39 percent."
positive,Estonia 's beer market overall grew three percent last year to 130 million liters .
neutral,"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa ."
positive,"The sales of department stores saw a 14 % increase, amounting to EUR 1,070.6 mn."
negative,"The period of January to August 2009 saw a decrease of 27.7 % in container, lorry, and trailer imports, and 28.6 % in exports compared to the previous year."
negative,"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 ."
negative,"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS due to tax charges today, while analysts anticipate higher earnings per year across other earnings lines."
neutral,Raisio is the site of the main production plants as well as company headquarters .
neutral,"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations ."
neutral,"` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive ."
negative,"The Finnish textile company Suominen Flexible Packaging Ltd, which is owned by Suominen Corporation Group (HEL: SUY1V), has announced the commencement of employee negotiations for its entire Finnish workforce."
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .
negative,"The net profit of Ixonos Oyj, a Finnish management software solutions provider, decreased from 669,000 euro ( $ 1.0 mln) in the first quarter of 2007 to 369,000 euro ( $ 575,000) in the first quarter of 2008."
positive,"Cargotec Corporation , Press Release , April 28 , 2008 at 2.00 p.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers ."
positive,"The grinding technology for the Shalkiya zinc-lead project in Kazakhstan has been ordered by Adanac Molybdenum of Canada, while Shalkiya Zinc of Kazakhstan has been awarded a grinding technology contract by Kazakhstan."
positive,"The optimization of working hours can be further optimized through investments and operational changes, leading to cost savings of approximately 7 % to 9 %."
negative,"Approximately 270 workers at the Kirkkonummi and Nivala factories will be temporarily laid off, which will be the company's policy."
neutral,"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said ."
neutral,"Look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes ."
negative,"Initially, the company expected to eliminate as many as 30 positions."
neutral,UPM 's aim is to secure Botnia 's strategic development and investments .
positive,Uponor improved its performance in spite of the decrease in residential construction in the US .
neutral,"The plant will go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol ."
positive,"Christopher Wynne, CEO of Papa John's Russia, believes that having CapMan as a partner will allow for continued business growth and a focus on top-notch restaurant service for customers."
negative,Applying for summer work is seen as laborious and stressful .
positive,"The third-quarter net profit of Amer Sports Corp., a global producer of sports equipment with brands such as Atomic, Salomon, and Wilson, rose by 64 percent to EURO 47.4 million and 65 million due to strong sales and cost-cutting measures."
negative,Approximately 20 individuals will no longer be needed as a result.
negative,"Fiskars Oyj Abp (HEL: FISAS) has announced that 18 office and management staff members will be laid off from its subsidiary Iittala Group Ltd., according to ADPnews."
negative,"Thomson Financial's HELSINKI stock closed with minimal changes, while Cargotec and Huhtamaki experienced a significant drop due to second-quarter results that were disappointing."
neutral,The uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals . ''
positive,"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music ."
positive,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 ."
positive,Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .
negative,"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf"
negative,"EUR 12.7 mn of operating loss was recorded, while the first half of 2008 had a profit of EUR 17.7 mn."
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea ."
positive,"In contrast to the previous year's loss of EUR 0.3 mn, the EBIT stood at EUR 14.4 mn."
positive,`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .
positive,"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam ."
positive,"EUR 0.4 million in cash flow from business operations was recorded in the first half of 2008, whereas EUR 15.5 million was negative."
positive,`` We are pleased to welcome Tapeks Noma into Cramo group .
negative,"The company expects its pre-tax profit to remain below the 2009 level, which had reached EUR 700,000 USD 934,000, despite earlier estimates indicating a slightly better pre-tax profit."
negative,NETeller's cost is lowered because of the recent difficulties.
neutral,"CapMan , the Stockholm-headquartered private equity firm , has held a first close on its second private equity real estate fund as it continues its push into the property sector ."
positive,"In contrast to the negative return on investment of 4.1 % in 2009, the current return on investment was 5.0 %."
negative,"Small businesses are currently experiencing difficulties due to their financial situation, according to him."
neutral,"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping ."
negative,"`` We cut our frequency to New York last year , which explains the fall , '' he said ."
neutral,"New Delhi , Feb. 12 -- Korteniemi Anneli , Helokunnas Tuija , Peltola Marjo , Keskinen Jukka , Salminen Jussi , Tusa Kia and Janhonen Risto of Nokia Telecommunications Oy , Espoo , Finland have developed cable adjustment device ."
negative,The operating profit experienced a decrease from EUR 7.9 mn in Q Q 2005 to EUR 5.1 mn in Q Q 2006.
positive,"Talvivaara has entered into a 10-year off-take agreement with Norilsk Nickel for 100% of its primary nickel and cobalt production, and has also entered into a long-term zinc streaming agreement with Nyrstar NV."
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 ."
neutral,"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar ."
negative,EUR 55.3 million slipped from EUR 55.3 million in 2007 to EUR 38.1 million in 2012.
negative,"EUR 10.9 mn was recorded in the period, marking a decline from EUR 14.3 mn in 2009."
positive,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .
neutral,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 ."
negative,"Stora Enso, a Finnish-Swedish company, finds it difficult to comprehend the ruling made by a Brazilian federal judge on the Veracel pulp company."
positive,`` We 've been feeling quite positive about the region as a whole .
positive,Mr Lee said he hoped that Neste 's move will ` pave the way for more collaboration projects between our two countries ' .
negative,"The pretax profit in theconsolidated period experienced a 69.2% decline, amounting to EUR 41.0 mn, compared to EUR 133.1 mn in 2007."
positive,"He declared on Wednesday that the government intends to suggest granting a license for two reactors, one by Fennovoima and the other by TVO."
neutral,Affecto has helped SKAT to set up the platform and has previously delivered several Business Intelligence projects for SKAT .
positive,The discussion also centered on the EPS of EUR 0.08 and the loss per share of EUR 0.04.
negative,"On Friday, Nokia's shares were down 50 percent from the beginning of the year, partly due to the sluggish introduction of touch-screen models, resulting in a surge in shares to 13.21 euros."
positive,`` Ixonos has a rich heritage in developing leadership experiences in the smartphone segment .
negative,"The SeaWind from Turku to Stockholm got stuck in ice at approximately 4 p.m. on Wednesday, and the Regal Star's journey from Kapellskar to Paldiski in northwestern Estonia was halted at 2 a.m. on Thursday."
positive,"Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement ."
positive,Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees .
negative,"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 ."
neutral,"Last year , the firm also acquired Realprojekti Oy , a real estate development company , to advise CapMan on its property activities ."
negative,"At this growth rate , paying off the national debt will be extremely painful ."
positive,"Jobs will not be transferred from Finland , however ."
negative,EB's stock exchange announcement on November 18th 2008 revealed that J.T. Bergqvist had resigned from his position as the chairman and Board member.
negative,"The failed project has resulted in a loss of EUR 4mn, as estimated by Ruukki Group."
neutral,"Metso Oyj said it has sold its spreader roll manufacturing business and related assets in the town of Nokia , southern Finland , to a group of Finnish investors , who will operate the business under the name of Finbow Oy ."
neutral,"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled ."
neutral,The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .
positive,"By the end of March 2007, the order book for the group had risen by 42%, reaching EUR 39.6 million, which was 42% higher than the previous year."
negative,The Border Guard Service has prohibited the mooring of the company's car-shipping ferry on its test travel at the Russian port's railroad-car terminal because the border checkpoint is still unresolved.
neutral,The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .
neutral,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions ."
negative,"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 ."
neutral,"Under the agreement , Japrotek will deliver nine storage tanks in the volume range of 1,000 cu m to 3,000 cu m with included agitators ."
neutral,BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .
neutral,"Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people ."
positive,"On Friday, Sponda, a Finnish real estate investment company, partnered with Nordea Bank and Sampo Bank to place a EUR100m ( USD125.4m) bond in its home country."
negative,Subscription sales decreased slightly .
neutral,"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings ."
neutral,"Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas ."
positive,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier ."
negative,Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .
positive,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 ."
neutral,"The alliance aims to tap pocketable mobile computers , netbooks , tablets , mediaphones , connected TVs and in-vehicle infotainment systems ."
negative,"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges, while analysts anticipate higher earnings across other earnings lines."
neutral,"The final price will be specified by 14 May 2010 , the acquiring company said ."
negative,"The FTSE 100 index rose by 36.7 points on the day, but this represented a relative price change of -0.2 % compared to the previous day's index."
positive,The total turnover of the groups is forecasted to increase slightly from the previous fiscal year.
positive,"The fourth quarter of 2009 saw a loss of EUR 1.7 mn, but the operating profit increased to EUR 5.8 mn."
neutral,Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .
neutral,"Kaleva Kustannus Oy ( business ID 0187274-0 ) has , according to its notice , on 10 August 2009 acquired 4,458,000 Alma Media shares ."
positive,"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content ."
positive,"In May, Campbell Morgan, a Merrill Lynch analyst, changed his opinion on PaperlinX from a neutral offer to a buy offer."
positive,Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .
neutral,"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx ."
neutral,"The employer-employee talks concerned about 500 people , that is , the whole staff in Finland ."
neutral,Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .
positive,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .
neutral,Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .
neutral,"First Industrial will seek LEED designation for Uponor 's new building and a 282,000 square-foot speculative distribution center at First Park Lakeville ."
negative,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier ."
negative,The Raahe Steel Works is set to reduce its workforce by 140 workers.
neutral,Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons .
negative,"Chuck Smith's termination from his $ 90,000 housing consultant job on May 30 resulted in him and his wife having to cut spending to support their family of six, as they had to depend on his income, which was roughly the same as his."
negative,"Talentum Oyj, a Finnish media company, experienced a decline in net profit for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln) to 2.5 mln euro ( $ 4.0 mln) compared to the previous"
negative,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland ."
neutral,It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .
neutral,"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 ."
negative,"Solteq Oyj HEL, a developer of Finnish business information systems, reported that STQ1V's net loss for the first quarter of 2009 increased from EUR 10,000 to EUR 189,000 USD 245,000, as reported by ADP News on April 22nd."
neutral,This release is not an offer of securities for sale into the United States or elsewhere .
positive,It will focus on improving its profitability next year by streamlining operations .
neutral,All reproduction for further distribution is prohibited .
neutral,The Court 's decision will also promote genuine competition in services
negative,"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition ."
neutral,"Also Finnish Industry Investment , a government-owned investment company , will participate in the project ."
neutral,Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko ."
neutral,"`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said ."
neutral,The contract is for next year .
positive,"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel ."
neutral,The combined capital of these funds is expected to be EUR 100mn-150mn .
neutral,Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros .
